,MISSION_SEQ,INFL_CHANNEL_SEQ,INFL_CHANNEL_NICK,ACCEPT_FLAG,OPTION_SEQ,PRODUCT,LINK,UPLOAD_DATE,END_DATE,FOLLOWER_CNT,LIKE_CNT,REPLY_CNT,VIEW_CNT,CREATE_DATE,FULFILL,CONTENT_QLTY,HASHTAG_CMPLN,OPEN_GRAPH_IMG,follower_score,interaction,int_pct,interaction_score,due,due_score,hashtag_score,quality_score,ttl_score,CLS
28,196,1327,bomnal_day,Y,91.0,31JPF2061_43A,https://www.instagram.com/p/CEO4luNnltf/,2020-08-23,2020-09-07,35585,1016,11,0,2020-08-18 00:56:26,,,,,15,1027,0.44642857142857145,10,-15 days +00:00:00.000000000,1.0,,,,D
32,196,919,wlgus2qh,Y,91.0,31JPF3061_50I,https://www.instagram.com/p/CEWgJz_DmQ2/,2020-08-26,2020-09-07,247176,5848,44,0,2020-08-18 00:57:20,,,,,25,5892,0.8928571428571429,20,-12 days +00:00:00.000000000,1.0,,,,D
33,196,1068,somsomvely,Y,91.0,31JPF1061_43K,https://www.instagram.com/p/CEjPpxYndRc/,2020-08-31,2020-09-07,249773,2661,74,0,2020-08-18 00:57:30,,,,,25,2735,0.8035714285714286,20,-7 days +00:00:00.000000000,1.0,,,,D
34,196,973,syung.kim_,Y,91.0,31JPF1061_50I,https://www.instagram.com/p/CEjEdtDnMyT/,2020-08-31,2020-09-07,272562,6451,77,0,2020-08-18 00:57:38,,30.0,20.0,,25,6528,0.9285714285714286,20,-7 days +00:00:00.000000000,1.0,10.0,15.0,70.0,B
35,196,722,heex.x,Y,91.0,31JPF1061_50B,https://www.instagram.com/p/CEeIvnclUUm/,2020-08-29,2020-09-07,219655,4404,31,0,2020-08-18 00:57:46,,,,,25,4435,0.875,20,-9 days +00:00:00.000000000,1.0,,,,D
36,196,1010,lee.um,Y,91.0,31JPF3061_07U,https://www.instagram.com/p/CEgPD9HD55g/,2020-08-30,2020-09-07,215578,2274,27,0,2020-08-18 00:57:58,,40.0,20.0,,25,2301,0.7857142857142857,15,-8 days +00:00:00.000000000,1.0,10.0,20.0,70.0,B
38,196,1077,yuuhyemin,Y,91.0,31JPF2061_43A,https://www.instagram.com/p/CElWdTCF-KQ/,2020-09-01,2020-09-07,201922,12363,28,0,2020-08-18 00:58:17,,,,,25,12391,1.0,20,-6 days +00:00:00.000000000,1.0,,,,D
39,196,65,dpwls2da,Y,91.0,31JPF1061_50B,https://www.instagram.com/p/CET73D9FJd4/,2020-08-25,2020-09-07,175303,1931,31,0,2020-08-18 00:58:27,,40.0,20.0,,25,1962,0.7321428571428571,15,-13 days +00:00:00.000000000,1.0,10.0,20.0,70.0,B
42,196,1204,imyeonduu,Y,91.0,31JPF3061_50I,https://www.instagram.com/p/CEk_906HdxZ/,2020-09-01,2020-09-07,163754,1571,15,0,2020-08-18 00:58:51,,,,,25,1586,0.6785714285714286,15,-6 days +00:00:00.000000000,1.0,,,,D
43,196,62,pongnim_c,Y,91.0,31JPF3061_43B,https://www.instagram.com/p/CEO-_VDgXeI/,2020-08-23,2020-09-07,146424,1751,76,0,2020-08-18 00:58:58,,,,,25,1827,0.7142857142857143,15,-15 days +00:00:00.000000000,1.0,,,,D
44,196,1525,woou.c,Y,91.0,31JPF3061_43B,https://www.instagram.com/p/CEdQFD3DDPI/,2020-08-29,2020-09-07,229369,6485,103,0,2020-08-18 00:59:06,,,,,25,6588,0.9464285714285714,20,-9 days +00:00:00.000000000,1.0,,,,D
55,196,900,xu.li9hts,Y,91.0,31JPF1061_43K,https://www.instagram.com/p/CEUOJSrHw9M/,2020-08-25,2020-09-07,119194,3008,103,0,2020-08-18 01:00:37,,,,,25,3111,0.8392857142857143,20,-13 days +00:00:00.000000000,1.0,,,,D
