,body,date,title,url,author
8,"컬러를 같은 톤으로 맞추는 ‘톤톤 코디’, 오버사이즈 맨투맨을 원피스처럼 연출하는 등 남다른 패션 센스를 뽐냈다. 현아의 MLB 맨투맨 코디와 더 많은 화보 컷은 공식 온라인몰과 인스타그램에서 만나볼 수 있다.",2020.08.03,"현아, 표정만 봐도 '심쿵' 섹시美 돋보이는 화보 속으로",https://www.sedaily.com/NewsView/1Z6FOTSXZH,서울경제
10,깔끔한 톤에 로고만 박혀있는 맨투맨 티셔츠나 롱패딩은 중·고교생부터 직장인까지 두루 인기를 얻었다.... 미국 스포츠를 패션 브랜드로 운영하고 있는 업체론 F&F가 운영하는 'MLB'와 한세엠케이가 전개하는 'NBA'가...,2020.07.15,"'캠핑열풍' 타고, '레깅스족' 업고… IPO 정조준한 패션기업",https://biz.chosun.com/site/data/html_dir/2020/07/15/2020071500192.html?utm_source=naver&utm_medium=original&utm_campaign=biz,조선비즈언론사 선정
12,"넉넉한 핏의 맨투맨, 단정하게 몸에 딱 맞는 셔츠 등을 조화롭게 소화하고 있다.깔끔한 폴로 브랜드 셔츠와... 잘생겼다"", ""MLB 저 모자 디자인이 그 때도 있었구나"", ""지금 입어도 될 듯"", ""진짜 인기 많았을 것 같다"", ""취향...",2020.07.11,“지금 입어도...” 새삼 화제 된 신동엽 24년 전 패션 (사진 30장),https://www.wikitree.co.kr/articles/551136,위키트리
14,"필름업체 코닥, 캠핑용품업체 스노우피크, 야구 리그 MLB, 다큐멘터리 채널 디스커버리와 내셔널지오그래픽.... 아웃도어 브랜드지만 일상복으로 입기에 편한 맨투맨, 티셔츠, 반바지 등을 내놨다. 코닥어패럴(사진)도...",2020.06.21,코닥·스노우피크…'옷'이 된 필름·캠핑용품 브랜드,https://www.hankyung.com/economy/article/2020062113651,한국경제
16,"필름업체 코닥, 캠핑용품업체 스노우피크, 야구 리그 MLB, 다큐 채널 디스커버리와 내셔널 지오그래픽. 전혀... 아웃도어 브랜드이지만 평상시에 입기 좋은 맨투맨, 티셔츠, 반바지 등도 선보였다. 데브그루 관계자는...",2020.06.21,"필름, 캠핑용품업체도 뛰어드는 캐주얼 의류 시장",https://www.hankyung.com/economy/article/202006210718i,한국경제
18,스트리트 캐주얼 브랜드 MLB(엠엘비)의 '프리미엄 스트릿 백팩'은 우수한 경량감과 생활 방수 기능 그리고... 10대와 20대에게 눈길을 사로잡는 색감과 깔끔한 디자인의 로고 맨투맨으로 화제를 모았던 스포츠 패션 브랜드...,2020.06.11,"엘리트학생복, 개성 있는 하복 패션 만들어줄 패션 아이템 소개",http://www.mrepublic.co.kr/news/articleView.html?idxno=47734,미디어리퍼블릭
0,"F&F는 현재 디스커버리 익스페디션, MLB, 스트레치엔젤스를 비롯해 다양한 프리미엄 라이프스타일 브랜드를... 아웃도어는 중장년이 주요 고객층이었지만 디스커버리는 퀼팅 재킷, 맨투맨 셔츠 등 제품군을 선보이며...",2020.05.29,"[소비자민원평가대상-아웃도어] F&F, 변화와 혁신으로 전세대 지지 끌어내",http://www.consumernews.co.kr/news/articleView.html?idxno=605883,소비자가 만드는 신문
2,"그는 MLB, NFL 선수협회와도 유대관계를 형성하며 영역을 ‘프로선수’로 넓혀갔다. 최초의 흑인 회장이었던 로벌슨은 한 시즌에 정규경기를 82번 이상을 치를 수 없다는 것을 못 박았다. 또한 시즌 중에는 연습경기 및...",2020.05.26,[맨투맨] 투쟁 끝에 탄생한 NBA의 ‘진짜’ 자유계약선수,http://sports.news.naver.com/basketball/news/read.nhn?oid=430&aid=0000000840,손대범 칼럼
4,"엠엘비의 '팝콘 PLAY MLB 맨투맨'은 MLB의 가장 핵심 아트웍 기법인 발포 프린트를 적용한 맨투맨 라인으로, 심플한 스타일과 '꾸안꾸' 컬러감으로 남녀노소 누구나 입기 좋다.현재 트렌드를 반영한 핏과 그래피티...",2020.05.06,가정의 달 온 가족을 위한 '패밀리룩 맛집' BEST 3 제안,https://www.insight.co.kr/news/282479,인사이트
6,패밀리 맨투맨 엠엘비(MLB) ‘팝콘 PLAY MLB 맨투맨’은 온 가족이 입기 좋은 맨투맨으로 MLB의 가장 핵심 아트웍 기법인 발포 프린트를 적용한 맨투맨 라인이다. 군더더기 없는 심플한 스타일과 꾸민 듯 꾸미지 않은 꾸안꾸...,2020.05.04,"가정의 달, 신발부터 의류까지 가족 취향을 저격할 '패밀리룩' 아이템",http://digitalchosun.dizzo.com/site/data/html_dir/2020/05/04/2020050480047.html,디지틀조선일보
8,캉골 · MLB · 리바이스… 고전적 스타일 재조명 캥거루라는 고유의 헤리티지를 지닌 에스제이그룹(대표... 헤리티지 컬렉션은 스트리트 감성과 휠라 특유의 레트로풍 디자인을 가미했으며 트레이닝복부터 맨투맨...,2020.04.13,폴로 · 타미 등 90’s 인기 재 점화,http://www.fashionbiz.co.kr/RE/?cate=2&recom=2&idx=176927,패션비즈
10,"2020 S/S 시즌 아이템인 발포 프린팅 기법을 이용한 MLB 로고 팝콘티셔츠를 비롯 맨투맨과 모노그램 패턴점퍼와 트레이닝 재킷, 팬츠, 레깅스, 볼캡, 빅볼청키 슈즈등 전체 아이템이 골고루 판매를 이끌고 있다. 특히...",2020.04.13,올해 1분기 승자는? MLB vs 안다르,http://www.itnk.co.kr/news/articleView.html?idxno=63573,국제섬유신문
12,①나이키 ②뉴발란스 ③엄브로 ④스트레치 엔젤스 ⑤박서준 인스타그램 ⑥MLB ⑦비욘드클로젯... 또 배우 박서준은 자신의 인스타그램을 통해 공개한 일상 사진에서 나이키X스투시 맨투맨과 조거 팬츠...,2020.04.08,"뉴트로와 스트리트의 만남, 이제는 ‘뉴트릿 패션’!",http://zine.istyle24.com/Fashion/FashionView.aspx?Idx=48154&Menu=12&_C_=23069,스냅
14,또 배우 박서준은 자신의 인스타그램을 통해 공개한 일상 사진에서 나이키X스투시 맨투맨과 조거 팬츠... 스트리트 캐주얼 브랜드 MLB에서는 기존에 선보이던 베이직한 힙색 외에 미키마우스가 들어간 모노그램 패턴의...,2020.04.06,"뉴트로X스트리트, '뉴트릿 패션' 따라잡기",http://www.slist.kr/news/articleView.html?idxno=147533,싱글리스트
